metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1766165991.1695,elite,119.84053944696,1742383563.8135,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",True,California,success,America/Los_Angeles,95113,1767083494,1767602769.4645,80,http,170.114.45.198:80,False,147.45569229126,111116,3463,96.977631154051,170.114.45.198
True,1766156302.753,elite,145.00103766835,1764741155.4369,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1767160943,1767602769.3116,80,http,8.35.211.75:80,False,56.504964828491,19291,4,99.979269240736,8.35.211.75
True,1767458990.4021,elite,119.4503669213,1750621541.7917,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767083429,1767602769.1947,80,http,45.67.215.29:80,False,37.505626678467,111775,195,99.825846208806,45.67.215.29
True,1766981385.8826,elite,120.60356860175,1750609545.692,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1767083433,1767602769.156,80,http,69.84.182.29:80,False,90.311288833618,114769,206,99.820830615351,69.84.182.29
True,1767067797.7251,elite,120.810456263,1742480546.3758,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767082895,1767602768.87,80,http,216.205.52.169:80,False,82.074165344238,111680,1013,99.101097672438,216.205.52.169
True,1767458966.3399,elite,146.14123752772,1764740281.26,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1767159678,1767602768.6314,80,http,108.162.193.119:80,False,68.095684051514,19307,8,99.958581413409,108.162.193.119
True,1766727809.2671,elite,144.05847862699,1764741773.8077,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1767161158,1767602768.5561,80,http,108.162.193.143:80,False,130.33843040466,19290,4,99.979268166269,108.162.193.143
True,1767298883.6461,elite,144.0568771008,1764742431.5857,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1767161761,1767602768.2692,80,http,108.162.193.237:80,False,112.90621757507,19328,10,99.948288344193,108.162.193.237
True,1766927291.9588,elite,143.84221849229,1765208513.4313,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767023320,1767602767.9103,80,http,141.101.113.172:80,False,157.72032737732,15771,4,99.974643423138,141.101.113.172
True,1766929389.7977,elite,143.0673264528,1765207198.9283,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767022299,1767602767.5421,80,http,141.101.113.205:80,False,107.63764381409,15808,4,99.974702757399,141.101.113.205
True,1766162616.4567,elite,141.55663834633,1765208779.5513,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767023450,1767602767.271,80,http,141.101.113.118:80,False,33.267021179199,15832,1,99.99368407756,141.101.113.118
True,1765175587.8389,elite,120.31188905514,1742506195.8161,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767083464,1767602766.9678,80,http,216.205.52.109:80,False,145.36929130554,111590,914,99.187584441442,216.205.52.109
True,1766116075.1512,elite,142.21068963082,1761070154.158,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1767119740,1767602766.8882,80,http,108.162.192.152:80,False,265.64264297485,45459,99,99.78269458712,108.162.192.152
True,1766230574.0737,elite,130.30329978331,1756297256.3255,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767186051,1767602766.6622,80,http,216.205.52.170:80,False,40.834903717041,75755,193,99.745878759151,216.205.52.170
True,1766981177.8236,elite,119.81516921634,1720474042.7752,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1767083814,1767602766.359,80,http,185.238.228.172:80,False,504.49728965759,112551,5912,95.009412221538,185.238.228.172
