alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1759218278.0762,elite,110.09049304649,1742429310.3468,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762244130,1762843374.9359,80,http,45.67.215.137:80,false,150.47526359558,80165,3372,95.963465290829,45.67.215.137
true,1761572816.1264,elite,110.57482505963,1742356131.8653,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762244297,1762843374.688,80,http,170.114.46.109:80,false,220.26586532593,79239,3347,95.947254982685,170.114.46.109
true,1759218251.0475,elite,110.42272318779,1742571560.3688,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762244498,1762843374.6857,80,http,170.114.45.133:80,false,207.48543739319,79268,633,99.207769614898,170.114.45.133
true,1758184932.146,elite,109.60379603032,1720501005.127,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762243854,1762843374.2422,80,http,141.101.113.246:80,false,102.50449180603,80260,2035,97.5271887721,141.101.113.246
true,1759208417.6454,elite,121.14404278268,1756298378.3747,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762347590,1762843374.0658,80,http,69.84.182.239:80,false,43.863534927368,45175,96,99.787943716728,69.84.182.239
true,1759218207.4591,elite,110.69040822445,1742396794.987,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762243709,1762843374.0635,80,http,216.205.52.142:80,false,263.48614692688,79893,977,98.791888215655,216.205.52.142
true,1762129175.8569,elite,110.14852585696,1742449102.8423,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762244112,1762843374.035,80,http,185.221.160.135:80,false,440.43874740601,79975,3361,95.96692905827,185.221.160.135
true,1758184120.8313,elite,110.7027895175,1720526550.0291,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762243857,1762843373.9699,80,http,69.84.182.26:80,false,122.76530265808,82305,1803,97.856327578827,69.84.182.26
true,1759218233.5834,elite,110.39221020504,1742354034.9603,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762243824,1762843373.9577,80,http,185.221.160.129:80,false,185.70518493652,79875,972,98.797729043749,185.221.160.129
true,1758177132.8383,elite,109.94569469812,1720481585.6553,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,"United Kingdom",GB,,true,"Invermae Solutions SL",51.5072,-0.127586,false,"Invermae Solutions SL",true,England,success,Europe/London,W1B,1762244109,1762843373.9476,80,http,185.238.228.106:80,false,227.33688354492,80675,5222,93.920625865863,185.238.228.106
